Market,USM,NE Version,Release Version,eNB Name,OTHER eNB ID,eNB ID,OTHER CELL ID (DELETE),Cell ID,Cell Source,cell-identity,administrative-state,Lat,Long,TAC,PCI,RACH,Band Name,Bandwidth (MHz),EARFCN DL,EARFCN UL,Output Power (dBm),Tx Diversity,Rx Diversity,SDL,Cell Radius (km),Azimuth,NBIoT,eMTC,DSS,LCC Card,DSP Index,DSP Cell Index,CPRI Port ID,Primary CPRI Port ID,RU Port ID,ZCZC,PRACH CONFIG INDEX,PRACH CONFIG INDEX (new),MULTI CARRIER TYPE,aliasName,Market CLLI Code,NBIoT TAC,emAreaId,Electrical Tilt,RET-CAP,Mechanical Downtilt,Antenna(before),Antenna(after),RRH Type(before),RRH Type(after),NOKIA_RRH_UNIT_TYPE,NOKIA_RRH_CODE,RRH_CODE(after),Priority,Nokia eNB count,Peoplesoft Location Code,Site Type,DAS OUTPUT POWER,antennaPathDelayDL,antennaPathDelayUL,antennaPathDelayDL (m),antennaPathDelayUL (m),DATE,Nokia_Cell_Max_Power,MMU_CELL,MMU_BISECTOR_ID,MMU_Beamwidth,Network,comments,CSV File,pa,pb,p0Nominal PUSCH,p0Nominal PUCCH,pSRS Offset,PRS MUTING CONFIG VALUE,Optic Distance(km),cbsd-index,grant-index,CBRS user-id,CBRS Fcc-Id,call-sign,max eirp threshold,Preferred Earfcn,CBSD Category,X Pole Antenna,CBRS/LAA Antenna Gain(dBi),USM_IP,numBlankDlPrbsUp,numBlankDlPrbsDown,actDlSlimCarrier,selectOuterPuschRegion,blankedPucch,lteNrDssMode
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,2,NCB,46356482,unlocked,35.136722,-89.945753,46344,202,170,700MHz,10MHz,5230,23230,46.0,4,4,False,29.5,120,1.0,1.0,,0,0,1,1,,0,12,4,4,cfg355-multi-carrier-10m-10m-10m-10m-5m-5m-5m-5m-config3,181080_2;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,2,Capable,0, ,QS8656-5_V3-0F_740MHZ_02DT_PORT1, ,Samsung RRH (B5/B13 RRH ORAN ),,,Samsung RRH (RF4440d-13A),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,3,NCB,46356483,unlocked,35.136722,-89.945753,46344,203,170,700MHz,10MHz,5230,23230,46.0,4,4,False,29.5,240,1.0,1.0,,0,0,2,2,,0,12,5,5,cfg355-multi-carrier-10m-10m-10m-10m-5m-5m-5m-5m-config3,181080_3;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,2,Capable,0, ,QS8656-5_V3-0F_740MHZ_02DT_PORT1, ,Samsung RRH (B5/B13 RRH ORAN ),,,Samsung RRH (RF4440d-13A),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,32,NCB,46356512,unlocked,35.136722,-89.945753,46344,203,170,AWS-1,10MHz,2100,20100,47.7,4,4,False,29.5,240,,,,1,1,5,5,,0,12,5,5,cfg61-multi-carrier-10m-5m-6cell,181080_3_2;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,2,Capable,0, ,QS8656-5_V3-0F_2140MHZ_02DT_PORT3, ,Samsung RRH (B2/B66A RRH ORAN ),,,Samsung RRH (RF4439d-25A),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,14,NCB,46356494,unlocked,35.136722,-89.945753,46344,201,170,PCS-1,5MHz,975,18975,43.0,4,4,False,29.5,0,,,,1,1,0,3,,0,12,3,3,cfg61-multi-carrier-10m-5m-6cell,181080_1_4;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,2,Not Capable,0, ,QS8656-5_V3-0F_1950MHZ_02DT_PORT3, ,Samsung RRH (B2/B66A RRH ORAN ),,,Samsung RRH (RF4439d-25A),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,34,NCB,46356514,unlocked,35.136722,-89.945753,46344,203,170,PCS-1,5MHz,975,18975,43.0,4,4,False,29.5,240,,,,1,1,2,5,,0,12,5,5,cfg61-multi-carrier-10m-5m-6cell,181080_3_4;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,2,Not Capable,0, ,QS8656-5_V3-0F_1950MHZ_02DT_PORT3, ,Samsung RRH (B2/B66A RRH ORAN ),,,Samsung RRH (RF4439d-25A),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,26,NCB,46356506,unlocked,35.136722,-89.945753,46344,202,170,850-1,10MHz,2450,20450,43.0,4,4,False,29.5,120,,,,0,1,1,1,,0,12,4,4,cfg355-multi-carrier-10m-10m-10m-10m-5m-5m-5m-5m-config3,181080_2_6;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,2,Capable,0, ,QS8656-5_V3-0F_870MHZ_02DT_PORT1, ,Samsung RRH (B5/B13 RRH ORAN ),,,Samsung RRH (RF4440d-13A),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,36,NCB,46356516,unlocked,35.136722,-89.945753,46344,203,170,850-1,10MHz,2450,20450,43.0,4,4,False,29.5,240,,,,0,1,2,2,,0,12,5,5,cfg355-multi-carrier-10m-10m-10m-10m-5m-5m-5m-5m-config3,181080_3_6;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,2,Capable,0, ,QS8656-5_V3-0F_870MHZ_02DT_PORT1, ,Samsung RRH (B5/B13 RRH ORAN ),,,Samsung RRH (RF4440d-13A),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,18,NCB,46356498,unlocked,35.136722,-89.945753,46344,201,170,AWS3-1,15MHz,66911,132447,47.7,4,4,False,29.5,0,,,,1,0,0,6,,1,12,3,3,cfg358-multi-carrier-20m-20m-20m-10m-5m-config3,181080_1_8;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,2,Capable,0, ,QS8610C4_V1-0P_2140MHz_02DT_Port3, ,Samsung RRH (B2/B66A RRH ORAN ),,,Samsung RRH (RF4439d-25A),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,38,NCB,46356518,unlocked,35.136722,-89.945753,46344,203,170,AWS3-1,15MHz,66911,132447,47.7,4,4,False,29.5,240,,,,1,0,2,8,,1,12,5,5,cfg358-multi-carrier-20m-20m-20m-10m-5m-config3,181080_3_8;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,2,Capable,0, ,QS8610C4_V1-0P_2140MHz_02DT_Port3, ,Samsung RRH (B2/B66A RRH ORAN ),,,Samsung RRH (RF4439d-25A),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,,,,,,,,,,,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,191,NCB,46356671,unlocked,35.136722,-89.945753,46344,201,170,CBRS,10MHz,0,0,30.9,4,4,False,29.5,0,,,,2,0,0,6,6.0,0,12,3,3,cfg358-multi-carrier-20m-20m-20m-10m-5m-config3,181080_19;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,4,Capable,0, ,QS8610C4_V1-0P_3600MHz_04DT_Port7, ,Samsung RRH (CBRS RRH),,,Samsung RRH (RT4401-48),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,0.0,0.0,D0HBBA,A3LRT4401-48A,,37.0,"55990,56190,56390,56590",cbsd-b,True,13.148,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,192,NCB,46356672,unlocked,35.136722,-89.945753,46344,201,170,CBRS,20MHz,0,0,30.9,4,4,False,29.5,0,,,,2,0,1,6,6.0,1,12,3,3,cfg358-multi-carrier-20m-20m-20m-10m-5m-config3,181080_19_2;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,4,Capable,0, ,QS8610C4_V1-0P_3600MHz_04DT_Port7, ,Samsung RRH (CBRS RRH),,,Samsung RRH (RT4401-48),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,0.0,1.0,D0HBBA,A3LRT4401-48A,,37.0,"55990,56190,56390,56590",cbsd-b,True,13.148,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,193,NCB,46356673,unlocked,35.136722,-89.945753,46344,201,170,CBRS,20MHz,0,0,30.9,4,4,False,29.5,0,,,,2,0,2,7,6.0,1,12,3,3,cfg358-multi-carrier-20m-20m-20m-10m-5m-config3,181080_19_3;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,4,Capable,0, ,QS8610C4_V1-0P_3600MHz_04DT_Port7, ,Samsung RRH (CBRS RRH),,,Samsung RRH (RT4401-48),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,0.0,2.0,D0HBBA,A3LRT4401-48A,,37.0,"55990,56190,56390,56590",cbsd-b,True,13.148,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,194,NCB,46356674,unlocked,35.136722,-89.945753,46344,201,170,CBRS,20MHz,0,0,30.9,4,4,False,29.5,0,,,,2,0,3,7,6.0,0,12,3,3,cfg358-multi-carrier-20m-20m-20m-10m-5m-config3,181080_19_4;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,4,Capable,0, ,QS8610C4_V1-0P_3600MHz_04DT_Port7, ,Samsung RRH (CBRS RRH),,,Samsung RRH (RT4401-48),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,0.0,3.0,D0HBBA,A3LRT4401-48A,,37.0,"55990,56190,56390,56590",cbsd-b,True,13.148,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,201,NCB,46356681,unlocked,35.136722,-89.945753,46344,202,170,CBRS,10MHz,0,0,30.9,4,4,False,29.5,120,,,,2,1,0,8,8.0,0,12,4,4,cfg358-multi-carrier-20m-20m-20m-10m-5m-config3,181080_20;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,4,Capable,0, ,QS8610C4_V1-0P_3600MHz_04DT_Port7, ,Samsung RRH (CBRS RRH),,,Samsung RRH (RT4401-48),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,1.0,0.0,D0HBBA,A3LRT4401-48A,,37.0,"55990,56190,56390,56590",cbsd-b,True,13.148,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,202,NCB,46356682,unlocked,35.136722,-89.945753,46344,202,170,CBRS,20MHz,0,0,30.9,4,4,False,29.5,120,,,,2,1,1,8,8.0,1,12,4,4,cfg358-multi-carrier-20m-20m-20m-10m-5m-config3,181080_20_2;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,4,Capable,0, ,QS8610C4_V1-0P_3600MHz_04DT_Port7, ,Samsung RRH (CBRS RRH),,,Samsung RRH (RT4401-48),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,1.0,1.0,D0HBBA,A3LRT4401-48A,,37.0,"55990,56190,56390,56590",cbsd-b,True,13.148,2001:5000:a45:3143:432:292::a100,,,,,,
SOC,Memphis,325-8522(abcd),b-78520,980181_TOWN_MORGAN_TN,,980181,,203,NCB,46356683,unlocked,35.136722,-89.945753,46344,202,170,CBRS,20MHz,0,0,30.9,4,4,False,29.5,120,,,,2,1,2,9,8.0,1,12,4,4,cfg358-multi-carrier-20m-20m-20m-10m-5m-config3,181080_20_3;MC;ALLEN MORGAN TN,ARTNTNBI,,47157,4,Capable,0, ,QS8610C4_V1-0P_3600MHz_04DT_Port7, ,Samsung RRH (CBRS RRH),,,Samsung RRH (RT4401-48),,,267466,No Type match,,,,,,2022-07-08,,,,,911_ARTNTNBI_01_ABC,,,,,,,,39396,,1.0,2.0,D0HBBA,A3LRT4401-48A,,37.0,"55990,56190,56390,56590",cbsd-b,True,13.148,2001:5000:a45:3143:432:292::a100,,,,,,
